Title;Genre;Premiere;Runtime;IMDB Score;Language
Angela's Christmas;Animation;30/11/2018;30;71;English
Angela's Christmas Wish;Animation;01/12/2020;47;71;English
Beats;Drama;19/06/2019;110;71;English
Circus of Books;Documentary;22/04/2020;92;71;English
Dance Dreams: Hot Chocolate Nutcracker;Documentary;27/11/2020;80;71;English
Derren Brown: Sacrifice;Mentalism special;19/10/2018;49;71;English
El Pepe: A Supreme Life;Documentary;27/12/2019;73;71;Spanish
End Game;Documentary;04/05/2018;40;71;English
Evelyn;Documentary;10/09/2019;96;71;English
Ferry;Crime drama;14/05/2021;106;71;Dutch
Grass Is Greener;Documentary;20/04/2019;97;71;English
Guillermo Vilas: Settling the Score;Documentary;27/10/2020;94;71;Spanish
Joshua: Teenager vs. Superpower;Documentary;26/05/2017;78;71;English
Keith Richards: Under the Influence;Documentary;18/09/2015;81;71;English
Knock Down the House;Documentary;01/05/2019;87;71;English
Loudon Wainwright III: Surviving Twin;One-man show;13/11/2018;91;71;English
My Beautiful Broken Brain;Documentary;18/03/2016;91;71;English
One of Us;Documentary;20/10/2017;95;71;English
Pieces of a Woman;Drama;07/01/2021;126;71;English
